Months,AdSpending,StoreTraffic
1,"230,000","159,101"
2,"68,000","142,375"
3,"153,000","154,191"
4,"234,000","157,685"
5,"114,000","153,255"
6,"249,000","154,252"
7,"189,000","157,111"
8,"249,000","164,855"
9,"74,000","148,964"
10,"182,000","154,899"
11,"228,000","161,065"
12,"111,000","149,133"
13,"248,000","157,140"
14,"168,000","157,399"
15,"128,000","155,129"
16,"254,000","159,773"
17,"282,000","161,288"
18,"63,000","150,775"
19,"195,000","155,651"
20,"98,000","155,314"
21,"176,000","155,596"
22,"172,000","162,306"
23,"160,000","157,170"
24,"246,000","151,819"
25,"279,000","161,104"
26,"290,000","164,731"
27,"52,000","135,143"
28,"77,000","146,219"
29,"286,000","158,776"
30,"116,000","157,299"
31,"147,000","158,297"
32,"90,000","155,934"
33,"160,000","154,010"
34,"118,000","147,744"
35,"104,000","154,427"
36,"93,000","149,080"
