ID,Price,Carat,Cut,Log_Price,Log_Carat
1,5320,1.08,Good,8.58,0.08
2,13194,2.08,Very Good,9.49,0.73
3,5858,1.32,Fair,8.68,0.28
4,20148,2.27,Ideal,9.91,0.82
5,16614,2.38,Ideal,9.72,0.87
6,3140,0.59,Good,8.05,-0.53
7,7868,1.56,Ideal,8.97,0.44
8,10365,2.28,Good,9.25,0.82
9,12063,1.6,Fair,9.4,0.47
10,6682,1.41,Good,8.81,0.34
11,10552,2.41,Good,9.26,0.88
12,8719,1.41,Good,9.07,0.34
13,10410,1.86,Fair,9.25,0.62
14,9819,1.65,Very Good,9.19,0.5
15,3485,0.71,Fair,8.16,-0.34
16,17530,2.3,Ideal,9.77,0.83
17,4196,0.99,Very Good,8.34,-0.01
18,3115,0.58,Very Good,8.04,-0.54
19,5493,1.16,Good,8.61,0.15
20,14627,2.41,Good,9.59,0.88
21,12613,2.28,Good,9.44,0.82
22,12806,1.89,Ideal,9.46,0.64
23,15297,1.78,Very Good,9.64,0.58
24,13578,2.49,Good,9.52,0.91
25,9540,1.81,Ideal,9.16,0.59
26,8333,1.92,Good,9.03,0.65
27,10215,1.59,Very Good,9.23,0.46
28,8612,1.69,Good,9.06,0.52
29,8664,1.08,Good,9.07,0.08
30,4301,0.79,Very Good,8.37,-0.24
31,9094,2.43,Fair,9.12,0.89
32,12229,2.3,Very Good,9.41,0.83
33,11354,1.88,Good,9.34,0.63
34,12628,2.09,Fair,9.44,0.74
35,3021,0.55,Very Good,8.01,-0.6
36,7340,1.46,Very Good,8.9,0.38
37,10136,2.02,Fair,9.22,0.7
38,6888,0.93,Very Good,8.84,-0.07
39,7980,1.14,Good,8.98,0.13
40,5070,0.96,Good,8.53,-0.04
41,9148,0.79,Ideal,9.12,-0.24
42,8944,1.33,Very Good,9.1,0.29
43,4837,1.33,Good,8.48,0.29
44,8715,1.24,Very Good,9.07,0.22
45,4675,0.8,Fair,8.45,-0.22
46,3516,0.78,Fair,8.17,-0.25
47,5373,0.97,Good,8.59,-0.03
48,7347,1.43,Fair,8.9,0.36
49,10680,1.03,Ideal,9.28,0.03
50,7601,2.22,Ideal,8.94,0.8
51,3520,0.59,Very Good,8.17,-0.53
52,8477,1.38,Ideal,9.05,0.32
53,14962,2.1,Ideal,9.61,0.74
54,8032,0.74,Very Good,8.99,-0.3
55,8792,1.62,Very Good,9.08,0.48
56,5569,0.91,Good,8.62,-0.09
57,4225,0.76,Very Good,8.35,-0.27
58,11638,2.01,Fair,9.36,0.7
59,12534,2.29,Good,9.44,0.83
60,8671,1.25,Very Good,9.07,0.22
61,14762,1.83,Very Good,9.6,0.6
62,2761,0.69,Fair,7.92,-0.37
63,9294,1.27,Good,9.14,0.24
64,6335,1.05,Good,8.75,0.05
