Week,sales,satisfaction,advertising,ease_of_purchase,searchoutcome,wom,safety,reputation
1,834.5,5.1,264.3,2.9,1.3,3.6,2.8,5.8
2,921.8,5.8,280.4,4.7,4.9,3.6,4.6,5.2
3,1087.0,4.4,355.8,4.9,4.1,3.1,3.3,6.2
4,1078.6,6.5,290.3,3.8,4.2,4.8,2.2,7.4
5,968.2,4.1,302.7,5.6,4.1,4.5,4.7,5.4
6,1105.8,6.1,362.5,3.1,4.0,4.7,4.8,4.2
7,1000.2,4.1,325.3,4.0,5.2,4.6,3.8,5.7
8,955.1,4.7,285.0,2.2,4.3,4.2,3.4,7.4
9,753.8,5.5,291.6,2.3,5.2,2.3,2.4,3.6
10,1020.6,4.3,313.7,4.3,7.0,3.4,4.4,7.0
11,890.9,4.8,269.7,3.7,5.5,5.2,2.6,5.8
12,965.1,3.2,308.3,3.8,6.7,3.7,4.0,7.2
13,1038.0,6.4,304.9,3.4,3.6,4.0,3.9,5.9
14,936.3,3.5,331.4,3.7,5.2,3.8,5.1,4.7
15,950.0,6.1,278.3,2.6,7.2,4.9,2.8,6.1
16,1056.8,5.8,309.7,5.2,4.8,5.8,2.8,5.0
17,734.2,5.3,253.2,2.5,2.7,4.1,3.2,3.7
18,1021.5,5.6,294.5,3.6,6.0,5.2,2.5,6.4
19,1072.3,7.0,316.0,3.1,5.5,3.2,3.3,6.2
20,988.0,4.9,313.5,2.9,4.8,2.5,4.5,6.6
21,1072.2,5.9,293.3,4.7,5.3,3.7,3.8,7.3
22,1024.7,4.4,317.6,3.3,6.2,4.7,3.1,6.5
23,1056.2,6.1,321.2,3.2,5.9,5.6,2.4,5.1
24,1017.5,4.8,304.5,4.5,6.7,3.3,3.3,6.9
25,1011.8,5.3,305.6,5.3,4.8,3.3,3.9,5.7
26,920.9,4.1,332.0,3.9,5.4,2.5,3.5,4.5
27,985.8,5.0,315.3,3.3,4.4,5.5,2.7,4.7
28,1000.8,4.2,297.0,3.7,4.6,4.5,5.1,6.5
29,1167.5,6.7,320.0,3.5,3.2,4.7,4.3,6.5
30,991.7,5.9,279.5,4.2,5.3,3.9,4.5,6.1
31,1109.9,5.8,328.8,4.6,3.5,3.1,4.8,5.9
32,1031.2,6.0,341.7,4.3,4.8,4.0,3.5,3.5
33,793.9,4.6,272.7,3.5,4.1,4.0,3.9,3.7
34,829.5,5.5,233.7,3.4,4.3,4.3,4.7,5.4
35,1004.9,4.1,317.4,3.3,4.7,4.2,1.9,6.5
36,1043.0,4.2,329.7,4.7,5.8,3.1,4.2,6.1
37,1048.5,6.3,317.1,3.6,5.7,4.8,3.5,4.7
38,1011.4,4.7,315.3,3.5,5.0,4.4,4.3,5.5
39,985.5,2.9,291.4,3.9,4.3,7.0,5.2,5.7
40,811.4,3.3,302.0,4.1,6.5,3.2,4.7,3.7
41,974.8,5.3,277.0,5.2,5.1,5.2,4.3,4.9
42,1145.9,7.2,318.9,3.1,3.5,5.8,2.0,5.5
43,944.1,6.4,283.3,4.4,3.4,4.4,2.9,3.9
44,1067.4,6.1,301.4,4.2,4.1,4.3,4.4,5.6
45,934.8,4.1,270.7,4.2,3.9,4.2,3.4,6.4
46,1090.5,6.5,295.1,4.3,6.3,3.6,3.2,6.9
47,1005.4,5.1,289.2,4.0,6.0,3.9,3.9,6.4
48,1021.0,5.2,313.7,4.9,4.9,3.0,5.0,5.1
49,967.0,5.3,279.1,4.7,6.7,4.7,3.0,5.4
50,864.9,3.2,283.6,4.0,4.1,4.5,3.9,4.8
51,1053.3,4.5,282.4,5.4,5.0,5.2,3.9,6.7
52,1050.7,5.9,290.3,5.4,2.6,4.7,3.7,5.1
53,1192.0,5.3,342.0,3.4,4.7,3.4,4.5,7.4
54,861.6,3.5,278.3,5.4,3.8,3.2,4.3,4.7
55,849.5,3.3,272.1,1.4,4.9,3.5,6.0,6.3
56,941.3,3.3,290.8,4.3,1.8,3.6,4.2,5.9
57,1007.2,5.5,314.2,3.2,4.2,4.3,3.0,4.7
58,880.0,5.4,249.4,4.0,3.5,4.3,3.6,5.0
59,1101.3,3.3,356.2,3.0,6.0,6.4,4.3,5.0
60,937.7,3.6,322.2,2.0,7.0,4.8,4.0,4.6
61,1097.4,4.4,325.1,7.1,6.2,3.4,5.2,5.3
62,1094.7,5.8,329.8,3.9,4.3,3.7,3.5,5.2
63,1044.7,5.2,264.6,5.0,4.9,4.7,5.0,6.8
64,973.1,4.9,265.8,4.7,4.3,4.9,4.2,5.6
65,1062.7,5.2,306.6,2.7,5.2,3.2,4.7,6.8
66,855.2,4.7,235.1,5.5,2.3,5.4,4.3,4.2
67,1044.2,4.7,347.4,3.7,6.7,2.8,2.6,5.0
68,1111.9,6.7,310.1,4.7,4.1,2.8,4.0,5.8
69,845.5,4.9,260.4,5.0,4.4,3.5,3.4,4.1
70,1060.6,6.8,289.0,4.5,5.8,4.0,3.9,5.3
71,951.8,4.1,285.8,4.1,5.4,4.8,5.1,4.9
72,889.3,3.4,249.0,5.5,3.1,4.6,3.4,5.9
73,1208.7,5.0,343.5,4.0,4.0,5.9,3.8,5.8
74,1102.4,5.6,328.4,4.5,5.3,3.2,4.4,5.2
75,996.7,3.4,291.6,4.5,4.0,4.6,3.9,6.1
76,943.1,3.9,265.8,5.5,4.8,5.4,3.2,5.2
77,1010.1,5.3,295.2,4.3,4.7,3.9,3.0,5.2
78,1138.2,4.6,357.2,4.4,3.7,3.5,4.9,4.8
79,1024.1,4.8,284.1,3.4,5.1,4.9,3.0,6.4
80,1033.2,5.0,292.7,5.1,5.0,5.6,2.9,4.7
81,1103.3,4.8,339.6,3.0,5.0,4.5,6.3,4.6
82,958.7,3.4,306.4,3.3,5.5,4.3,3.3,5.3
83,986.3,5.8,289.5,3.9,5.7,3.5,5.0,4.6
84,1151.0,6.5,305.2,4.3,2.8,4.5,2.4,6.0
85,933.7,6.3,273.3,2.1,4.9,5.4,3.2,3.9
86,1023.8,5.6,310.5,3.8,4.3,4.0,2.8,4.3
87,983.0,4.0,286.5,3.8,4.1,4.0,4.4,5.8
88,1160.5,5.3,301.5,4.7,3.2,5.7,4.1,6.2
89,733.9,3.2,289.1,2.2,3.5,3.6,2.8,2.5
90,1154.7,5.2,341.4,3.3,6.6,2.8,1.9,7.0
