Sales,TV,Radio,Newspaper,OwnPrice,CompPrice,Satisfaction
22.1,230.1,37.8,69.2,15.87,27.62,2.2
10.4,44.5,39.3,45.1,15.46,24.11,1.6
12,17.2,45.9,69.3,14.38,25.54,2
16.5,151.5,41.3,58.5,16.15,25.94,3.6
17.9,180.8,10.8,58.4,17.08,24.45,2.4
7.2,8.7,48.9,75,15.62,23.15,2.2
11.8,57.5,32.8,23.5,15.39,23.57,2.5
13.2,120.2,19.6,11.6,14.32,23.99,3.5
4.8,8.6,2.1,1,17.74,22.43,3.6
15.6,199.8,2.6,21.2,17.2,26.62,3.6
12.6,66.1,5.8,24.2,16.35,24.77,2
17.4,214.7,24,4,16.11,24.3,2.7
9.2,23.8,35.1,65.9,17.52,21.84,2
13.7,97.5,7.6,7.2,16.29,23.19,3
19,204.1,32.9,46,16.03,26.69,3.6
22.4,195.4,47.7,52.9,13.86,25.8,2.2
12.5,67.8,36.6,114,15.35,24.74,2.2
24.4,281.4,39.6,55.8,14.76,28.31,3.6
11.3,69.2,20.5,18.3,14.42,22.47,2
14.6,147.3,23.9,19.1,16.25,23.46,3.6
18,218.4,27.7,53.4,16.08,24.48,3.5
17.5,237.4,5.1,23.5,17.1,24.33,3.2
5.6,13.2,15.9,49.6,16.7,23.62,2.2
20.5,228.3,16.9,26.2,16.95,26.18,1.7
9.7,62.3,12.6,18.3,16.49,21.99,2.7
17,262.9,3.5,19.5,16.13,25.13,3.8
15,142.9,29.3,12.6,17.23,25.49,3
20.9,240.1,16.7,22.9,14.93,25.35,2.2
18.9,248.8,27.1,22.9,17.03,26.66,3.8
10.5,70.6,16,40.8,16.45,23.18,2.4
21.4,292.9,28.3,43.2,15.91,25.5,2.2
11.9,112.9,17.4,38.6,15.38,24.56,3
13.2,97.2,1.5,30,15.32,25.9,2
17.4,265.6,20,0.3,17.11,24.3,3.8
11.9,95.7,1.4,7.4,17.38,25.51,3.8
17.8,290.7,4.1,8.5,17.09,25.37,2.2
25.4,266.9,43.8,5,16.71,27.65,3.8
14.7,74.7,49.4,45.7,15.24,24.44,3.8
10.1,43.1,26.7,35.1,16.47,24.97,1.7
21.5,228,37.7,32,16.9,25.53,3.8
16.6,202.5,22.3,31.6,15.15,26.92,2.8
17.1,177,33.4,38.7,16.12,26.12,3.3
20.7,293.6,27.7,1.8,16.94,27.2,3
17.9,206.9,8.4,26.4,15.08,27.31,3.5
8.5,25.1,25.7,43.3,15.55,21.63,2
16.1,175.1,22.5,31.5,16.17,25.82,1.7
10.6,89.7,9.9,35.7,17.45,25.12,2.2
23.2,239.9,41.5,18.5,15.82,26.04,3.6
19.8,227.2,15.8,49.9,14.99,25.97,3.5
9.7,66.9,11.7,36.8,15.49,24.85,1.9
16.4,199.8,3.1,34.6,16.16,26.86,2.2
10.7,100.4,9.6,3.6,14.45,23.24,3.8
22.6,216.4,41.7,39.6,15.85,26.81,3
21.2,182.6,46.2,58.7,15.92,28.3,3.8
20.2,262.7,28.8,15.9,16.97,27.05,2
23.7,198.9,49.4,60,16.79,27.14,3.8
5.5,7.3,28.1,41.4,15.7,23.59,3.6
13.2,136.2,19.2,16.6,16.32,24.95,2.4
23.8,210.8,49.6,37.7,16.79,27.17,3.8
18.4,210.7,29.5,9.3,16.06,26.51,2.4
8.1,53.5,2,21.4,14.58,24.37,2.4
24.2,261.3,42.7,54.7,15.77,27.29,3.6
20.7,239.3,15.5,27.3,15.94,26.24,3.3
14,102.7,29.6,8.4,14.28,24.23,3.3
16,131.1,42.8,28.9,16.18,23.88,1.7
11.3,69,9.3,0.9,14.42,25.33,1.9
11,31.5,24.6,2.2,14.43,23.33,3.2
