Date,Temperature,IceCreamSales,SoftDrinkSales
"Monday, June 1, 2015",57,600,810
"Tuesday, June 2, 2015",63,880,1095
"Wednesday, June 3, 2015",58,675,1923
"Thursday, June 4, 2015",65,375,1871
"Friday, June 5, 2015",73,653,2547
"Saturday, June 6, 2015",70,857,1736
"Sunday, June 7, 2015",75,574,2239
"Monday, June 8, 2015",73,705,1185
"Tuesday, June 9, 2015",75,903,1671
"Wednesday, June 10, 2015",76,1176,1318
"Thursday, June 11, 2015",78,789,1170
"Friday, June 12, 2015",81,1189,1043
"Saturday, June 13, 2015",80,515,907
"Sunday, June 14, 2015",81,1153,1109
"Monday, June 15, 2015",79,1188,2400
"Tuesday, June 16, 2015",77,930,2312
"Wednesday, June 17, 2015",76,1112,2245
"Thursday, June 18, 2015",77,898,2530
"Friday, June 19, 2015",73,1251,1044
"Saturday, June 20, 2015",76,1114,1011
"Sunday, June 21, 2015",73,1047,2189
"Monday, June 22, 2015",78,798,2723
"Tuesday, June 23, 2015",75,905,2813
"Wednesday, June 24, 2015",71,827,1906
"Thursday, June 25, 2015",74,436,1523
"Friday, June 26, 2015",72,1048,1273
"Saturday, June 27, 2015",66,860,2207
"Sunday, June 28, 2015",66,859,2019
"Monday, June 29, 2015",71,1118,2557
"Tuesday, June 30, 2015",73,696,1044
