consumer,Anti.Cavity,Whiten.Teeth,Gum.Strengthen,Fresh.Breath,Tooth.Decay,Fill.Tooth.Gaps
1,7,3,6,4,2,4
2,1,3,2,4,5,4
3,6,2,7,4,1,3
4,4,5,4,6,2,5
5,1,2,2,3,6,2
6,6,3,6,4,2,4
7,5,3,6,3,4,3
8,6,4,7,4,1,4
10,2,6,2,6,7,6
11,6,4,7,3,2,3
13,7,2,6,4,1,3
14,4,6,4,5,3,6
16,6,4,6,3,3,4
20,3,5,3,6,4,6
24,4,6,4,6,4,7
26,3,5,4,6,4,7
28,3,7,2,6,4,3
31,7,3,6,4,2,4
32,1,3,2,4,5,4
33,6,2,7,4,1,3
34,4,5,4,6,2,5
35,1,2,2,3,6,2
36,6,3,6,4,2,4
37,5,3,6,3,4,3
38,6,4,7,4,1,4
40,2,6,2,6,7,6
41,6,4,7,3,2,3
43,7,2,6,4,1,3
44,4,6,4,5,3,6
46,6,4,6,3,3,4
50,3,5,3,6,4,6
54,4,6,4,6,4,7
56,3,5,4,6,4,7
58,3,7,2,6,4,3
9,3,4,2,3,6,3
12,2,3,1,4,5,4
15,1,3,2,2,6,4
17,5,3,6,3,3,4
18,7,3,7,4,1,4
19,2,4,3,3,6,3
21,1,3,2,3,5,3
22,5,4,5,4,2,4
23,2,2,1,5,4,4
25,6,5,4,2,1,4
27,4,4,7,2,2,5
29,4,6,3,7,2,7
30,2,3,2,4,7,2
39,3,4,2,3,6,3
42,2,3,1,4,5,4
45,1,3,2,2,6,4
47,5,3,6,3,3,4
48,7,3,7,4,1,4
49,2,4,3,3,6,3
51,1,3,2,3,5,3
52,5,4,5,4,2,4
53,2,2,1,5,4,4
55,6,5,4,2,1,4
57,4,4,7,2,2,5
59,4,6,3,7,2,7
60,2,3,2,4,7,2
